Product Name,Price,Description,Review
"OnePlus 12R (Cool Blue, 256 GB)","₹42,479",16 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5500 mAh Battery1 Year Brand Warranty,4.4
"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹46,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.5
"OnePlus 11R 5G (Sonic Black, 256 GB)","₹35,944",16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh BatteryDomestic warranty of 12 months on phone & 6 months on accessries,4.5
"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹46,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.5
"SAMSUNG Galaxy S23 FE (Purple, 128 GB)","₹34,999",8 GB RAM | 128 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹46,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.5
"SAMSUNG Galaxy S23 FE (Graphite, 256 GB)","₹39,999",8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹46,999",8 GB RAM | 128 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.5
"SAMSUNG Galaxy S23 FE (Mint, 256 GB)","₹39,999",8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Full HD+ Display50MP + 12MP | 10MP Front Camera4500 mAh BatterySamsung Exynos 2200 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2
"vivo V30 Pro 5G (Andaman Blue, 512 GB)","₹46,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
"vivo V30 Pro 5G (Classic Black, 512 GB)","₹46,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 8200 5G Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5
"Nothing Phone (2) (Dark Grey, 512 GB)","₹49,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty,4.4
"Nothing Phone (2) (White, 512 GB)","₹49,999",12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50 MP(OIS) +50MP | 32MP Front Camera4700 mAh Lithium ion BatteryQualcomm Snapdragon 8+ Gen 1 ProcessorLTPO AMOLED (1 Hz - 120 Hz)1 Year Manufacturing Warranty,4.4
"Google Pixel 7 (Snow, 128 GB)","₹43,999",8 GB RAM | 128 GB ROM16.0 cm (6.3 inch) Full HD+ Display50MP + 12MP | 10.8MP Front Camera4270 mAh BatteryGoogle Tensor G2 ProcessorNA,4.3
"OnePlus 11 5G (Titan Black, 128 GB)","₹41,900",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
"OnePlus 11 5G (Eternal Green, 128 GB)","₹40,698",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera | 16MP Front Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories,4.4
